project_key,repo_slug,pr_id,event_type,action,actor,created_on,is_inline,comment_id,text
KIOSK,kiosk,10501,APPROVAL,APPROVED,mvarela,2026-02-09T20:19:00.878000+00:00,0,,
KIOSK,kiosk,10501,APPROVAL,APPROVED,esouza,2026-02-09T20:19:52.124000+00:00,0,,
KIOSK,kiosk,10501,OTHER,MERGED,lakamine,2026-02-09T20:46:47.055000+00:00,0,,
KIOSK,kiosk,10498,OTHER,OPENED,lakamine,2026-02-09T19:10:36.652000+00:00,0,,
KIOSK,kiosk,10498,OTHER,RESCOPED,lakamine,2026-02-09T19:12:59.623000+00:00,0,,
KIOSK,kiosk,10498,OTHER,RESCOPED,lakamine,2026-02-09T19:14:35.114000+00:00,0,,
KIOSK,kiosk,10498,OTHER,RESCOPED,lakamine,2026-02-09T19:15:32.421000+00:00,0,,
KIOSK,kiosk,10498,OTHER,RESCOPED,lakamine,2026-02-09T19:17:19.263000+00:00,0,,
KIOSK,kiosk,10498,COMMENT,COMMENTED,lakamine,2026-02-09T19:37:39.315000+00:00,1,241646,
KIOSK,kiosk,10498,COMMENT,COMMENTED,lakamine,2026-02-09T19:38:03.452000+00:00,1,241647,
KIOSK,kiosk,10498,APPROVAL,APPROVED,mvarela,2026-02-09T20:18:56.151000+00:00,0,,
KIOSK,kiosk,10498,APPROVAL,APPROVED,esouza,2026-02-09T20:19:45.998000+00:00,0,,
KIOSK,kiosk,10498,OTHER,MERGED,lakamine,2026-02-09T20:46:46.594000+00:00,0,,
KIOSK,kiosk,10487,OTHER,OPENED,lakamine,2026-02-05T13:15:39.865000+00:00,0,,
KIOSK,kiosk,10487,APPROVAL,APPROVED,redias,2026-02-05T13:19:11.168000+00:00,0,,
KIOSK,kiosk,10487,APPROVAL,APPROVED,esouza,2026-02-05T13:22:36.453000+00:00,0,,
KIOSK,kiosk,10487,OTHER,MERGED,lakamine,2026-02-05T13:51:45.217000+00:00,0,,
KIOSK,kiosk,10488,OTHER,OPENED,lakamine,2026-02-05T13:15:53.750000+00:00,0,,
KIOSK,kiosk,10488,APPROVAL,APPROVED,redias,2026-02-05T13:19:16.415000+00:00,0,,
KIOSK,kiosk,10488,APPROVAL,APPROVED,esouza,2026-02-05T13:22:39.799000+00:00,0,,
KIOSK,kiosk,10488,OTHER,MERGED,lakamine,2026-02-05T13:30:52.889000+00:00,0,,
KIOSK,kiosk,10486,OTHER,OPENED,lakamine,2026-02-05T13:06:20.229000+00:00,0,,
KIOSK,kiosk,10486,APPROVAL,APPROVED,redias,2026-02-05T13:19:04.631000+00:00,0,,
KIOSK,kiosk,10486,APPROVAL,APPROVED,esouza,2026-02-05T13:22:33.917000+00:00,0,,
KIOSK,kiosk,10486,OTHER,MERGED,lakamine,2026-02-05T13:23:17.644000+00:00,0,,
KIOSK,kiosk,10482,OTHER,OPENED,lakamine,2026-02-03T18:06:48.859000+00:00,0,,
KIOSK,kiosk,10482,APPROVAL,APPROVED,esouza,2026-02-03T19:24:05.295000+00:00,0,,
KIOSK,kiosk,10482,APPROVAL,APPROVED,mvarela,2026-02-03T19:25:36.536000+00:00,0,,
KIOSK,kiosk,10482,OTHER,MERGED,lakamine,2026-02-03T19:26:04.061000+00:00,0,,
KIOSK,kiosk,10467,OTHER,OPENED,lakamine,2026-01-29T18:57:08.322000+00:00,0,,
KIOSK,kiosk,10467,OTHER,UPDATED,dtoniolo,2026-01-29T19:49:04.912000+00:00,0,,
KIOSK,kiosk,10467,APPROVAL,APPROVED,dtoniolo,2026-01-29T19:49:06.219000+00:00,0,,
KIOSK,kiosk,10467,APPROVAL,APPROVED,esouza,2026-01-29T19:49:30.103000+00:00,0,,
KIOSK,kiosk,10467,OTHER,MERGED,lakamine,2026-01-29T19:53:51.438000+00:00,0,,
KIOSK,kiosk,10468,OTHER,OPENED,lakamine,2026-01-29T19:36:14.528000+00:00,0,,
KIOSK,kiosk,10468,OTHER,UPDATED,dtoniolo,2026-01-29T19:48:55.750000+00:00,0,,
KIOSK,kiosk,10468,APPROVAL,APPROVED,dtoniolo,2026-01-29T19:48:57.100000+00:00,0,,
KIOSK,kiosk,10468,APPROVAL,APPROVED,esouza,2026-01-29T19:49:26.555000+00:00,0,,
KIOSK,kiosk,10468,OTHER,MERGED,lakamine,2026-01-29T19:53:50.455000+00:00,0,,
KIOSK,kiosk,10463,OTHER,OPENED,lakamine,2026-01-28T20:38:57.774000+00:00,0,,
KIOSK,kiosk,10463,APPROVAL,APPROVED,redias,2026-01-29T13:07:04.277000+00:00,0,,
KIOSK,kiosk,10463,OTHER,UPDATED,sudhak,2026-01-29T13:37:00.849000+00:00,0,,
KIOSK,kiosk,10463,APPROVAL,APPROVED,sudhak,2026-01-29T13:37:03.211000+00:00,0,,
KIOSK,kiosk,10463,OTHER,MERGED,lakamine,2026-01-29T18:14:50.752000+00:00,0,,
